Country Name,Country Code,Year,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Cereal production (metric tons),"Children out of school, primary","Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)",Exports of goods and services (% of GDP),GDP per capita (current US$),Gini index,"Inflation, consumer prices (annual %)","Population, total","School enrollment, secondary (% gross)","Service exports (BoP, current US$)","Service imports (BoP, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
Belize,BLZ,2004,82.3,82.6,-11.3864,53937.0,556.0,4.39041095890411,8.42473555736371,7.12410369553227,42.260056394332,5156.09817143194,,6.39443099742399,271688.0,77.1139907836914,238140221.78738,147090960.960752,10.584
Belize,BLZ,2005,82.8,83.5,-11.2779,71758.0,91.0,4.42754625057607,8.32140666530362,7.06356892753376,45.696464286925,5272.74417207961,,-1.1043104441191,279731.0,75.5892333984375,306951848.448777,158792475.528014,10.91
Belize,BLZ,2006,83.0,91.0,-11.1694,53390.0,218.0,4.00268882913713,7.48964772249895,6.3413161601932,51.7864437670867,5527.16775856439,,-7.11376771265014,287878.0,76.1658782958984,367036154.275123,152159934.886109,9.39
Belize,BLZ,2007,83.3,85.2,-10.1846,70153.0,553.0,3.61867372194248,6.73211781206171,5.68300562740267,50.5535703825201,5765.28199932455,,2.31808274642021,296100.0,75.2803726196289,400086591.598201,168156306.471398,8.51
Belize,BLZ,2015,83.4,91.8,-6.3041,80959.0,175.0,3.87119073679359,7.65035102899138,6.27767974836275,51.5720115820433,6154.49593498217,,-0.861584009427748,356333.0,80.9736709594727,495732587.120912,221357659.908368,7.578
Belize,BLZ,2016,83.2,93.3,-4.9494,91556.38,224.0,3.84136972268969,7.00183294056036,5.85108862884051,47.2948843853227,6142.49873185177,,0.663427167917601,364705.0,87.4975967407227,525727234.4182,215682310.194753,7.0
Belize,BLZ,2017,83.2,94.2,-6.9787,118376.0,104.0,2.25558609995066,4.02674350181604,3.37960518691168,49.7948197502537,6072.58267640581,,1.14765339305816,373202.0,84.7784423828125,573471410.417122,240520708.330492,6.596
Belize,BLZ,2018,83.0,91.7,-6.9787,99341.0,193.0,2.56911251776256,5.21624524065215,4.21883936285426,51.5643737054399,6031.28139580144,,0.269982622646335,380226.0,86.3165817260742,620049388.451978,237857761.577981,7.896
Belize,BLZ,2019,83.0,92.7,-6.9787,85114.0,420.0,2.91996954632989,6.73931963522155,5.25782448825965,51.8569693924549,6190.04792278445,,0.187069385181424,385829.0,87.3793334960938,677199094.939682,234691297.922604,9.053
Belize,BLZ,2020,82.9,96.8,-6.9787,112007.0,255.0,2.81334626057303,6.71268507402961,5.25278191535968,37.7169150941087,5227.19363786168,,0.121434644614894,390812.0,85.9464797973633,425870424.398771,170386731.960546,10.784
